DAY,AVG_FEE_USD,MEDIAN_FEE_USD,TOTAL_FEES,TOTAL_TRANSACTIONS
2022-03-30 00:00:00.000,10.982263562,4.896894946,6813044.88121901,620368
2022-03-29 00:00:00.000,14.264489888,6.281287512,17115947.1516796,1199899
2022-03-28 00:00:00.000,26.177481243,6.802881016,31883831.8467215,1217987
2022-03-27 00:00:00.000,17.517201501,4.330908638,19666124.1954373,1122675
2022-03-26 00:00:00.000,9.319485262,4.037366966,10473675.5527731,1123847
2022-03-25 00:00:00.000,13.154509683,5.691219336,15083802.6906981,1146664
2022-03-24 00:00:00.000,13.892782089,5.787615995,15997483.0043482,1151496
2022-03-23 00:00:00.000,10.247052579,4.469361387,11932047.163666,1164437
2022-03-22 00:00:00.000,10.835079746,4.552906214,13224984.1210079,1220571
2022-03-21 00:00:00.000,8.801285749,3.755841655,10234390.3060713,1162829
2022-03-20 00:00:00.000,7.360967664,3.018485924,8237408.63958515,1119066
2022-03-19 00:00:00.000,8.477100796,3.745500152,9558838.19734736,1127607
2022-03-18 00:00:00.000,15.140456065,5.51725136,19166969.5128062,1265944
2022-03-17 00:00:00.000,17.203785308,5.929420172,20206396.3654679,1174532
2022-03-16 00:00:00.000,9.340572479,3.884056173,10093870.9678002,1236011
2022-03-15 00:00:00.000,8.16136026,3.445466702,8559291.86341427,1190207
2022-03-14 00:00:00.000,8.141284857,3.312080644,8938422.48157447,1097913
2022-03-13 00:00:00.000,8.727792174,2.955989059,9092849.53695267,1041827
2022-03-12 00:00:00.000,5.985037307,2.397729707,6706994.40231263,1120627
2022-03-11 00:00:00.000,7.599798247,3.174571752,8506712.57049293,1119334
2022-03-10 00:00:00.000,7.534247381,3.540854499,9264042.77151405,1229591
2022-03-09 00:00:00.000,9.17044406,4.04652858,10805735.9853063,1178322
2022-03-08 00:00:00.000,10.266622542,3.692259191,12275040.8429491,1195626
2022-03-07 00:00:00.000,9.549710745,3.769227554,11216784.6499534,1174568
2022-03-06 00:00:00.000,11.621813086,3.869202277,13054143.4393287,1123245
2022-03-05 00:00:00.000,9.22778198,3.857608142,9947373.64659702,1077981
2022-03-04 00:00:00.000,11.467721654,4.943717598,13387991.6447329,1167450
2022-03-03 00:00:00.000,12.73412271,5.674803588,14863102.4832655,1167187
2022-03-02 00:00:00.000,13.989210782,6.275824421,16666312.0602419,1191369
2022-03-01 00:00:00.000,15.437982625,7.004668115,17932204.8503177,1161564
2022-02-28 00:00:00.000,18.47482153,7.062035063,20472171.4354211,1108112
2022-02-27 00:00:00.000,11.05765687,4.824970523,12440582.7266141,1125065
2022-02-26 00:00:00.000,13.048672681,4.970935057,15238266.0541936,1167802
2022-02-25 00:00:00.000,15.122221697,6.05456142,17207545.8242408,1137898
2022-02-24 00:00:00.000,18.562143252,8.351294566,21925269.4902123,1181182
2022-02-23 00:00:00.000,22.420729396,7.913565284,23692029.5940368,1147632
2022-02-22 00:00:00.000,20.188034729,9.233486572,22796591.2602984,1129213
2022-02-21 00:00:00.000,21.427398714,10.216775021,24306148.3038717,1134349
2022-02-20 00:00:00.000,14.847211433,6.150856448,19952707.181286,1343869
2022-02-19 00:00:00.000,17.036617698,7.576470961,19594870.2842502,1150162
2022-02-18 00:00:00.000,21.865607779,11.862415773,27392227.6080697,1252754
2022-02-17 00:00:00.000,20.455500204,9.243194893,23360119.8661332,1141997
2022-02-16 00:00:00.000,21.742190529,10.088169937,25526070.9150678,1174034
2022-02-15 00:00:00.000,20.152909805,8.375112739,23503391.518804,1166253
2022-02-14 00:00:00.000,15.983289088,7.199343428,18341175.8613571,1147522
2022-02-13 00:00:00.000,15.038601681,6.698299312,16772492.300362,1115296
2022-02-12 00:00:00.000,17.506150566,7.835557542,19513195.715847,1114648
2022-02-11 00:00:00.000,19.523769499,8.982709032,23115479.2786216,1183966
2022-02-10 00:00:00.000,29.033240018,11.343850528,35004680.6913964,1205676
2022-02-09 00:00:00.000,24.943297662,11.183573495,30078848.2740601,1205889
2022-02-08 00:00:00.000,23.600136635,11.710364105,27866569.3364051,1180780
2022-02-07 00:00:00.000,30.616544121,14.699800376,35617389.2044008,1163338
2022-02-06 00:00:00.000,19.284985292,8.703774766,22638335.6741422,1173884
2022-02-05 00:00:00.000,33.261416717,8.598819361,41078614.6581815,1235023
2022-02-04 00:00:00.000,26.162926529,12.43187642,30578495.9655654,1168772
2022-02-03 00:00:00.000,28.65140013,12.838132307,31837865.5957169,1111215
2022-02-02 00:00:00.000,35.414657231,15.9786211,40821235.8775448,1152665
2022-02-01 00:00:00.000,35.998193221,16.539133671,42233044.2887017,1173199
2022-01-31 00:00:00.000,25.726528338,11.802869421,20290641.5330603,788705
2022-01-30 00:00:00.000,28.080091726,11.508285499,33242616.5892517,1183850
2022-01-29 00:00:00.000,25.832183347,12.058309968,29633569.9518028,1147157
